participant_id,trial_type,trial_index,age,gender,language,amE,comments,expression,choice,nResponse,cc
607ed551-ad50-464d-bd8f-9d8b3fbbe475,survey-multi-choice,6,33,female,English,AmE,""":""""}",confess,"Yes, but",0,lost his key
607ed551-ad50-464d-bd8f-9d8b3fbbe475,survey-multi-choice,7,33,female,English,AmE,""":""""}",mnrrc,"Yes, but",0,cheated on his wife
607ed551-ad50-464d-bd8f-9d8b3fbbe475,survey-multi-choice,9,33,female,English,AmE,""":""""}",be right,"No,",1,bought a new car
607ed551-ad50-464d-bd8f-9d8b3fbbe475,survey-multi-choice,11,33,female,English,AmE,""":""""}",confirm,"Yes, but",0,broke the plate
e170629a-3ce5-4d5b-81e2-0e999b6e8ae3,survey-multi-choice,3,30,female,English,AmE,""":""""}",mnrrc,"No,",1,cheated on his wife
e170629a-3ce5-4d5b-81e2-0e999b6e8ae3,survey-multi-choice,5,30,female,English,AmE,""":""""}",know,"No,",1,ate the last cupcake
e170629a-3ce5-4d5b-81e2-0e999b6e8ae3,survey-multi-choice,7,30,female,English,AmE,""":""""}",be right,"No,",1,lost his key
e170629a-3ce5-4d5b-81e2-0e999b6e8ae3,survey-multi-choice,8,30,female,English,AmE,""":""""}",fnrrc,"No,",1,bought a new car
e170629a-3ce5-4d5b-81e2-0e999b6e8ae3,survey-multi-choice,9,30,female,English,AmE,""":""""}",confess,"No,",1,stole the money
e170629a-3ce5-4d5b-81e2-0e999b6e8ae3,survey-multi-choice,10,30,female,English,AmE,""":""""}",discover,"No,",1,broke the plate
e170629a-3ce5-4d5b-81e2-0e999b6e8ae3,survey-multi-choice,11,30,female,English,AmE,""":""""}",confirm,"No,",1,saw the murder
0bd66879-ca33-4aa2-9157-39c68d5dcaf9,survey-multi-choice,3,51,female,English,AmE,""":""Thanks!""}",confess,"No,",1,stole the money
0bd66879-ca33-4aa2-9157-39c68d5dcaf9,survey-multi-choice,4,51,female,English,AmE,""":""Thanks!""}",confirm,"No,",1,saw the murder
